,screen_name,sentiment
0,AboveStLouis,positive
1,ArenaJet,positive
2,EaseMyTrip,positive
3,OfwonoOpondo,positive
4,laxradar,positive
5,rkabushenga,positive
6,tan_tan_ch,positive
7,thetrickytrade,positive
8,vkuppuluri532,positive
9,makemytripcare,negative
10,spieco1978,negative
11,FlyingFreak73,neutral
12,pravngupta,neutral
13,zeeshan_shah_dc,neutral
14,SatishJ45962597,negative
15,ImtiazA56745356,negative
16,HaroonDvx,negative
17,EgriJakob,negative
18,jelly3615120332,positive
19,DTPORGE,negative
20,united,positive
21,adansi_health,positive
22,aparanjape,negative
23,manilabulletin,neutral
24,9mm_smg,negative
25,dook42_domini,positive
26,shecranes256,neutral
27,MarchandSurgery,neutral
28,BaagalaMargret,neutral
29,GlobalX_Tracker,neutral
